Sensor ID,Sensor name,Total count 2019 by sensor,Total count 2020 by sensor,Change in count
22,Flinders St-Elizabeth St (East),1337425,445791,-891634
24,Spencer St-Collins St (North),1098166,210379,-887787
6,Flinders Street Station Underpass,1040433,190959,-849474
5,Princes Bridge,958937,156405,-802532
4,Town Hall (West),1008211,245937,-762274
1,Bourke Street Mall (North),979720,269797,-709923
28,The Arts Centre,728549,104748,-623801
9,Southern Cross Station,661180,66977,-594203
35,Southbank,799405,240025,-559380
57,Bourke St Bridge,587826,37746,-550080
58,Bourke St - Spencer St (North),633535,124506,-509029
2,Bourke Street Mall (South),649206,166652,-482554
47,Melbourne Central-Elizabeth St (East),675960,212147,-463813
15,State Library,629563,190096,-439467
53,Collins St (North),504296,127432,-376864
19,Chinatown-Swanston St (North),449919,87460,-362459
21,Bourke St-Russell St (West),471910,109694,-362216
14,Sandridge Bridge,368713,52438,-316275
17,Collins Place (South),382329,71590,-310739
30,Lonsdale St (South),376767,66293,-310474
26,QV Market-Elizabeth St (West),451626,175871,-275755
52,Elizabeth St-Lonsdale St (South),315261,59087,-256174
20,Chinatown-Lt Bourke St (South),286350,33670,-252680
23,Spencer St-Collins St (South),309152,57169,-251983
18,Collins Place (North),283516,41573,-241943
40,Lonsdale St-Spring St (West),281066,40244,-240822
43,Monash Rd-Swanston St (West),227640,20132,-207508
36,Queen St (West),240043,41718,-198325
56,Lonsdale St - Elizabeth St (North),238458,65878,-172580
39,Alfred Place,206332,36210,-170122
54,Lincoln-Swanston (West),155754,9006,-146748
10,Victoria Point,155687,22824,-132863
50,Faraday St-Lygon St (West),188217,69462,-118755
7,Birrarung Marr,191541,79674,-111867
31,Lygon St (West),169701,59672,-110029
46,Pelham St (South),108376,15525,-92851
44,Tin Alley-Swanston St (West),92402,13661,-78741
34,Flinders St-Spark La,103805,25924,-77881
37,Lygon St (East),98669,30019,-68650
8,Webb Bridge,153803,86192,-67611
48,QVM-Queen St (East),184452,127062,-57390
12,New Quay,149720,93758,-55962
27,QV Market-Peel St,101659,48565,-53094
51,QVM-Franklin St (North),95544,48459,-47085
49,QVM-Therry St (South),115982,80665,-35317
11,Waterfront City,33525,27802,-5723
