Date,Time,Day (2019),Day (2020),Total hourly counts (2019),Toal hourly counts (2020)
1,0,Wednesday,Friday,3236,566
1,1,Wednesday,Friday,1822,401
1,2,Wednesday,Friday,1009,311
1,3,Wednesday,Friday,844,359
1,4,Wednesday,Friday,846,354
1,5,Wednesday,Friday,2580,1246
1,6,Wednesday,Friday,9487,2770
1,7,Wednesday,Friday,25009,3709
1,8,Wednesday,Friday,51965,5382
1,9,Wednesday,Friday,37236,4981
1,10,Wednesday,Friday,29344,5575
1,11,Wednesday,Friday,32660,6663
1,12,Wednesday,Friday,55422,8840
1,13,Wednesday,Friday,56361,9110
1,14,Wednesday,Friday,43208,9000
1,15,Wednesday,Friday,44591,9654
1,16,Wednesday,Friday,54737,9725
1,17,Wednesday,Friday,74760,9812
1,18,Wednesday,Friday,51387,6816
1,19,Wednesday,Friday,33313,4252
1,20,Wednesday,Friday,24957,2884
1,21,Wednesday,Friday,19237,2044
1,22,Wednesday,Friday,13884,1443
1,23,Wednesday,Friday,9614,886
2,0,Thursday,Saturday,3541,618
2,1,Thursday,Saturday,1838,538
2,2,Thursday,Saturday,1045,402
2,3,Thursday,Saturday,743,362
2,4,Thursday,Saturday,819,362
2,5,Thursday,Saturday,2460,638
2,6,Thursday,Saturday,8914,1342
2,7,Thursday,Saturday,25023,1756
2,8,Thursday,Saturday,52474,2933
2,9,Thursday,Saturday,36983,4718
2,10,Thursday,Saturday,27934,8356
2,11,Thursday,Saturday,32066,10212
2,12,Thursday,Saturday,51586,12083
2,13,Thursday,Saturday,55137,12465
2,14,Thursday,Saturday,42750,12851
2,15,Thursday,Saturday,43447,10728
2,16,Thursday,Saturday,52795,8067
2,17,Thursday,Saturday,71842,6822
2,18,Thursday,Saturday,49030,5067
2,19,Thursday,Saturday,31658,3217
2,20,Thursday,Saturday,24541,2552
2,21,Thursday,Saturday,19143,1848
2,22,Thursday,Saturday,14760,1205
2,23,Thursday,Saturday,10066,847
3,0,Friday,Sunday,4123,680
3,1,Friday,Sunday,2373,483
3,2,Friday,Sunday,1465,373
3,3,Friday,Sunday,1317,339
3,4,Friday,Sunday,1056,293
3,5,Friday,Sunday,2810,537
3,6,Friday,Sunday,9601,812
3,7,Friday,Sunday,25528,1296
3,8,Friday,Sunday,52352,2373
3,9,Friday,Sunday,38362,4109
3,10,Friday,Sunday,33050,6640
3,11,Friday,Sunday,37881,9066
3,12,Friday,Sunday,61138,11324
3,13,Friday,Sunday,62775,12784
3,14,Friday,Sunday,48379,13559
3,15,Friday,Sunday,48051,12218
3,16,Friday,Sunday,59240,9947
3,17,Friday,Sunday,76040,7785
3,18,Friday,Sunday,62312,5157
3,19,Friday,Sunday,48219,3610
3,20,Friday,Sunday,32946,2842
3,21,Friday,Sunday,24693,2103
3,22,Friday,Sunday,31656,1527
3,23,Friday,Sunday,18058,887
4,0,Saturday,Monday,10673,769
4,1,Saturday,Monday,6687,460
4,2,Saturday,Monday,4481,358
4,3,Saturday,Monday,3309,338
4,4,Saturday,Monday,2216,378
4,5,Saturday,Monday,2012,1168
4,6,Saturday,Monday,3739,2774
4,7,Saturday,Monday,5472,4295
4,8,Saturday,Monday,10349,6064
4,9,Saturday,Monday,17417,5347
4,10,Saturday,Monday,24704,5830
4,11,Saturday,Monday,32448,6917
4,12,Saturday,Monday,39420,10044
4,13,Saturday,Monday,41393,10937
4,14,Saturday,Monday,42418,10273
4,15,Saturday,Monday,42854,10782
4,16,Saturday,Monday,44354,11287
4,17,Saturday,Monday,44831,12104
4,18,Saturday,Monday,44851,7625
4,19,Saturday,Monday,35711,4361
4,20,Saturday,Monday,26294,3262
4,21,Saturday,Monday,25105,2245
4,22,Saturday,Monday,28792,1713
4,23,Saturday,Monday,16026,1042
5,0,Sunday,Tuesday,11150,660
5,1,Sunday,Tuesday,7743,420
5,2,Sunday,Tuesday,4124,351
5,3,Sunday,Tuesday,3676,407
5,4,Sunday,Tuesday,2551,437
5,5,Sunday,Tuesday,2036,1202
5,6,Sunday,Tuesday,2258,3007
5,7,Sunday,Tuesday,3995,4496
5,8,Sunday,Tuesday,8289,7228
5,9,Sunday,Tuesday,13903,6479
5,10,Sunday,Tuesday,24041,7659
5,11,Sunday,Tuesday,33254,9190
5,12,Sunday,Tuesday,46869,12574
5,13,Sunday,Tuesday,44604,13415
5,14,Sunday,Tuesday,46344,12261
5,15,Sunday,Tuesday,46388,12371
5,16,Sunday,Tuesday,42996,12958
5,17,Sunday,Tuesday,35501,13394
5,18,Sunday,Tuesday,36557,8741
5,19,Sunday,Tuesday,23376,5101
5,20,Sunday,Tuesday,17712,3565
5,21,Sunday,Tuesday,13122,2868
5,22,Sunday,Tuesday,9504,1772
5,23,Sunday,Tuesday,5271,1089
6,0,Monday,Wednesday,2817,715
6,1,Monday,Wednesday,1451,419
6,2,Monday,Wednesday,891,358
6,3,Monday,Wednesday,681,391
6,4,Monday,Wednesday,721,441
6,5,Monday,Wednesday,2514,1228
6,6,Monday,Wednesday,9450,2942
6,7,Monday,Wednesday,25459,4475
6,8,Monday,Wednesday,52384,6712
6,9,Monday,Wednesday,36934,6323
6,10,Monday,Wednesday,28073,6921
6,11,Monday,Wednesday,31252,7863
6,12,Monday,Wednesday,53070,10846
6,13,Monday,Wednesday,53558,11559
6,14,Monday,Wednesday,40658,10314
6,15,Monday,Wednesday,42104,10920
