Sensor ID,Date,Time,Hourly counts (2019),Hourly counts (2020),Day (2019),Day (2020),Month,Sensor name
1,1,0,96,9,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,1,71,2,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,2,30,2,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,3,8,5,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,4,19,4,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,5,42,12,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,6,105,47,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,7,386,56,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,8,1014,139,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,9,1084,243,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,10,1493,263,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,11,2009,311,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,12,3469,413,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,13,3590,490,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,14,2895,542,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,15,2947,612,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,16,2948,543,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,17,3693,439,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,18,2819,271,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,19,1936,188,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,20,1254,69,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,21,727,45,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,22,403,36,Wednesday,Friday,May,Bourke Street Mall (North)
1,1,23,197,17,Wednesday,Friday,May,Bourke Street Mall (North)
1,2,0,100,28,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,1,54,16,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,2,19,13,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,3,12,11,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,4,14,12,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,5,44,16,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,6,117,29,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,7,417,37,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,8,1002,101,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,9,1007,161,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,10,1331,298,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,11,1965,465,Thursday,Saturday,May,Bourke Street Mall (North)
1,2,12,3187,681,Thursday,Saturday,May,Bourke Street Mall (North)
